"codgeo";"libgeo";"pop2019";"pop0020_2019";"pop6475_2019";"pop7582019";"typoAAV20";"grilledens7";"libaav20";"tx_evol_annuel_1319"
"18010";"Ardenais";"199";"43";"42";"19";"T01_20";7;"300 - Saint-Amand-Montrond";"-1.05"
"18011";"Argent-sur-Sauldre";"2063";"349";"502";"348";"T01_10";5;"403 - Aubigny-sur-Nère";"-0.53"
"18012";"Argenvières";"440";"108";"80";"46";"T02_20";6;"097 - Nevers";"-1.34"
"18013";"Arpheuilles";"304";"62";"79";"33";"T01_20";6;"300 - Saint-Amand-Montrond";"-0.9"
"18014";"Assigny";"148";"20";"55";"10";"T00_30";7;"N/A - hors champ";"-1.39"
"18015";"Aubigny-sur-Nère";"5502";"1044";"1108";"851";"T01_10";5;"403 - Aubigny-sur-Nère";"-0.24"
"18016";"Aubinges";"400";"114";"59";"22";"T02_20";7;"064 - Bourges";"3.05"
"18017";"Augy-sur-Aubois";"288";"54";"79";"33";"T00_30";7;"N/A - hors champ";"-0.46"
"18018";"Avord";"2740";"709";"269";"145";"T02_20";5;"064 - Bourges";"0.15"
"18019";"Azy";"445";"101";"86";"43";"T02_20";7;"064 - Bourges";"-1.49"
"18020";"Bannay";"858";"186";"202";"91";"T01_20";6;"254 - Cosne-Cours-sur-Loire";"0.06"
"18021";"Bannegon";"273";"44";"77";"38";"T00_30";6;"N/A - hors champ";"1.41"
"18022";"Barlieu";"345";"66";"82";"46";"T01_20";7;"403 - Aubigny-sur-Nère";"-1.68"
"18023";"Baugy";"1665";"449";"264";"142";"T02_20";5;"064 - Bourges";"-0.57"
"18024";"Beddes";"99";"18";"32";"8";"T00_30";7;"N/A - hors champ";"2.37"
"18025";"Beffes";"617";"124";"143";"85";"T02_20";5;"097 - Nevers";"-1.44"
"18026";"Belleville-sur-Loire";"1010";"267";"174";"77";"T00_30";5;"N/A - hors champ";"-0.44"
"18027";"Bengy-sur-Craon";"657";"178";"105";"51";"T02_20";6;"064 - Bourges";"-0.57"
"18028";"Berry-Bouy";"1183";"296";"234";"80";"T02_20";6;"064 - Bourges";"-0.06"
"18029";"Bessais-le-Fromental";"301";"56";"77";"33";"T00_30";6;"N/A - hors champ";"-1.67"
"18030";"Blancafort";"1018";"197";"234";"118";"T01_20";6;"403 - Aubigny-sur-Nère";"-1.52"
